time,value
2025-06-19T16:37:36.14337499Z,234
2025-06-19T16:37:38.394994044Z,219
2025-06-19T16:37:39.524675286Z,234
2025-06-19T16:37:41.775476292Z,224
2025-06-19T16:37:42.906827457Z,234
2025-06-19T16:37:45.156722739Z,219
2025-06-19T16:37:46.287574737Z,234
2025-06-19T16:37:48.538153518Z,224
2025-06-19T16:37:49.67633118Z,234
2025-06-19T16:37:50.803091542Z,235
2025-06-19T16:37:51.939656355Z,234
2025-06-19T16:37:54.187411867Z,219
2025-06-19T16:37:55.320448363Z,235
2025-06-19T16:37:56.453404611Z,234
2025-06-19T16:37:57.593205564Z,235
2025-06-19T16:37:58.722172643Z,234
2025-06-19T16:37:59.855203278Z,235
2025-06-19T16:38:00.997727892Z,234
2025-06-19T16:38:02.141810568Z,235
2025-06-19T16:38:04.376314584Z,220
2025-06-19T16:38:05.511089673Z,235
2025-06-19T16:38:06.643777241Z,236
2025-06-19T16:38:07.776365759Z,234
2025-06-19T16:38:10.083803829Z,220
2025-06-19T16:38:11.162453797Z,236
2025-06-19T16:38:12.293605936Z,234
2025-06-19T16:38:13.425332398Z,235
2025-06-19T16:38:15.675755183Z,224
2025-06-19T16:38:16.804222369Z,237
2025-06-19T16:38:17.941987023Z,235
2025-06-19T16:38:20.192027097Z,220
2025-06-19T16:38:21.321318195Z,234
2025-06-19T16:38:23.576857037Z,224
2025-06-19T16:38:24.705506766Z,237
2025-06-19T16:38:25.833984877Z,235
2025-06-19T16:38:28.081425857Z,221
2025-06-19T16:38:29.217527101Z,235
2025-06-19T16:38:30.352665289Z,236
2025-06-19T16:38:32.622578618Z,220
2025-06-19T16:38:33.74275547Z,236
2025-06-19T16:38:34.88349048Z,235
2025-06-19T16:38:38.239997232Z,220
2025-06-19T16:38:39.379916051Z,235
2025-06-19T16:38:41.622987988Z,220
2025-06-19T16:38:42.760044267Z,235
2025-06-19T16:38:45.981667596Z,220
2025-06-19T16:38:46.172098862Z,235
2025-06-19T16:38:48.399190103Z,220
2025-06-19T16:38:49.541389589Z,235
2025-06-19T16:38:51.790495371Z,220
2025-06-19T16:38:52.909365975Z,235
2025-06-19T16:38:55.168115Z,220
2025-06-19T16:38:56.30065891Z,236
2025-06-19T16:38:58.535584235Z,220
2025-06-19T16:38:59.671290828Z,235
2025-06-19T16:39:00.861254609Z,236
2025-06-19T16:39:01.94928913Z,235
2025-06-19T16:39:03.080851223Z,236
2025-06-19T16:39:04.210657211Z,235
2025-06-19T16:39:06.459267813Z,224
2025-06-19T16:39:07.594648946Z,235
2025-06-19T16:39:09.842061326Z,221
2025-06-19T16:39:10.974158777Z,235
2025-06-19T16:39:13.22064565Z,224
2025-06-19T16:39:14.354040084Z,235
2025-06-19T16:39:15.489486951Z,234
2025-06-19T16:39:16.631890321Z,235
2025-06-19T16:39:18.887988781Z,220
